Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Lost Property,5807 S. Woodlawn (Booth School),4/6/17 8:33 PM,4/6/17 7:30 PM to 7:50 PM,Individual placed briefcase on the roof of car and drove off / Briefcase fell from car at unknown location,Closed,17-00272
Theft,1100 E. 57th St. (Regenstein Library),4/6/17 9:07 PM,4/6/17 8:10 PM to 8:15 PM,"Unattended, unsecured laptop computer left in 2nd floor cubicle was taken by unknown person",Open,17-00273
Information / Burglary,5714 S. Woodlawn,4/6/17 10:44 PM,4/6/17 9:15 PM to 10:30 PM,"Unknown person(s) entered unlocked door and took 5 unattended, unsecured laptop computers from 1st floor room of fraternity house / Referred to CPD",CPD,17-00274
Aggravated Robbery,5840 S. Maryland (Parking Structure),4/7/17 3:20 AM,4/6/17 2:35 PM,Individual reported an unknown person placed an object to his back and took a Samsung Tablet before fleeing / As a result of the follow-up investigation the complainant admitted to UCPD detectives that no crime occurred,Unfounded,17-00275
Information,5800 S. Kenwood,4/7/17 11:30 AM,4/7/17 11:00 AM,2 Lab School students reported seeing a suspicious truck drive by the school several times,Closed,17-00276
Theft,924 E. 57th St. (BSLC),4/7/17 1:03 PM,4/6/17 9:00 AM to 10:30 PM,Secured bicycle taken from bike rack,Open,17-00277
Burglary,924-26 E. 61st St. (University Housing),4/7/17 4:05 PM,4/7/17 2:40 PM to 3:45 PM,Unknown person(s) gained entry to secured apartment building by forcing front door and took a package from the vestibule,Open,17-00278
False Police Report,850 E. 61st St. (UCPD HQ),4/7/17 4:10 PM,4/7/17 3:38 AM,Individual arrested for filing a false police report / Refer to report 17-00275 above,Arrest,17-00279
Theft,924-26 E. 61st St. (University Housing),4/7/17 4:20 PM,3/28/17 3:15 PM to 5:00 PM,Unknown person(s) took a UPS package from the building vestibule,Open,17-00280
Non-Criminal Property Damage,1116 E. 59th St. (Harper),4/7/17 6:10 PM,4/7/17 6:00 PM,Staff member reports a key broke in lock while securing elevator / Facilities responded,Closed,17-00281
Void,Void,Void,Void,Number generated in error,Void,17-00282
Void,Void,Void,Void,Number generated in error,Void,17-00283
Information,5706 S. University (Reynolds Club),4/8/17 4:29 PM,4/8/17 1:20 PM,Individual left cell phone in restroom / Phone located in possession of another person off campus  / Phone returned to owner / Individual who had phone in his possession was arrested by CPD for active warrant,Closed,17-00284
Information,5811 S. Ellis (Cobb Hall),4/9/17 12:36 AM,4/9/17 12:36 AM,UCPD officers searched the building subsequent to a well-being request / No person found,Closed,17-00285
Lost Property,6031 S. Ellis (Granville-Grossman RH),4/9/17 4:29 PM,4/5/17 1:15 PM to 3:00 PM,Individual lost cell phone while in the residence hall,Closed,17-00286
Found Narcotics,5700 S. Maryland (CCD),4/10/17 2:26 AM,4/10/17 2:20 AM,Staff member found suspect illegal narcotics in patient's room / Turned over to UCPD for proper disposal,Closed,17-00287
Information / Vehicle Hijacking,5553 S. Kenwood,4/10/17 11:11 PM,4/10/17 11:10 PM,"Victim, driving off campus in a 2016 Dodge was struck in the rear by a black GMC SUV / Two unknown suspects, one armed with a handgun, exited the SUV and took the victim's wallet, phone and keys / One suspect took victim's car while other fled in the SUV / CPD case JA220359",CPD,17-00288
Burglary,924 E. 57th St. (BSLC),4/11/17 11:15 AM,4/11/17 3:00 AM,Unknown suspect gained unlawful entry to room 310 and took 8 iMac desktop computers and a supply cart,Open,17-00289
Information,6025 S. Ellis (Cathey Dining Commons),4/12/17 3:04 PM,4/11/17 9:00 PM to 9:15 PM,Former contract employee gained unauthorized entry to dining hall after hours / Subject left upon request without incident,Closed,17-00290
Recovered Motor Vehicle,6140 S. Drexel,4/13/17 9:53 AM,4/13/17 0950,"UCPD officer on patrol was alerted by in-car license plate reader of an unoccupied, parked vehicle reported taken in a robbery outside of UCPD area / Vehicle turned over to CPD / CPD case JA219845",CPD,17-00291
Lost Property,5835 S. Greenwood (Stuart Hall),4/13/17 10:18 AM,6/30/16 to 8/26/16 3:00 PM to 2:00 PM,Delayed report of a theft of an espresso machine from the basement of Stuart Hall / Follow up investigation revealed no evidence that a theft occurred / Reclassified as lost property,Closed,17-00292
Lost Property,1005 E. 60th St. (Burton-Judson RH),4/13/17 10:18 AM,7/29/15 to 2/26/16  4:00 PM to 11:00 AM,Delayed report of a theft of a convection steamer from a storage room /  Follow up investigation revealed no evidence that a theft occurred / Reclassified as lost property,Closed,17-00293
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),4/13/17 10:58 AM,4/13/17 10:58 AM,Individual was transported to Mitchell ER for evaluation and treatment,Closed,17-00294
Theft,1116 E. 59th St. (Harper Caf�),4/14/17 10:45 AM,10/1/16 to 4/13/17 12:30 AM to 8:30 AM,"Theft of currency from cash register - estimated to be approximately $5,000 - reported to have occurred over an extended period of time",Open,17-00295
Information,53rd & Kenwood,4/14/17 10:51 AM,4/14/17 10:50 AM,"Subsequent to a traffic stop, UCPD officer detained a motorist when notified that subject was wanted on a traffic warrant from DuPage County, IL / Motorist later released upon advice from DuPage County",Closed,17-00296
Injured Person,5530 S. Ellis (Ratner A.C.),4/14/17 3:36 PM,4/14/17 3:35 PM,Individual injured his shoulder while lifting weights / Transported to ER by CFD EMS for evaluation and treatment,Closed,17-00297
Theft from Motor Vehicle,901 E. Midway Pl.,4/14/17 5:44 PM,4/14/17 6:30 AM to 5:30 PM,Spare tire taken from the rear of a parked SUV,Open,17-00298
Information,901 E.58th St. (Mitchell ER),4/14/17 9:29 PM,4/14/17 7:45 PM,Patient became upset while being treated and left the ER,Closed,17-00299
Information / Aggravated Robbery,6231 S. Kimbark (Public Way),4/15/17 7:06 PM,4/15/17 6:55 AM,"Unknown suspect took property from a victim walking on the sidewalk off-campus / Suspect implied he had a weapon, but none was displayed / CPD case JA225465",CPD,17-00300
Liquor Law Violation,5500 S. University (Campus North RH),4/15/17 5:04 PM,4/15/17 5:04 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00301
Medical Call,1025 E. 58th St. (Bond Chapel),4/15/17 8:33 PM,4/15/17 8:30 PM,Individual fainted / Transported to ER by CFD EMS for evaluation and treatment,Closed,17-00302
Traffic Crash,901 E. 58th St.,4/16/17 6:50 AM,4/16/17 6:50 AM,UC owned vehicle involved in property damage traffic crash / No injuries reported,Closed,17-00303
Information / Death Investigation,52nd St. between Woodlawn & Kimbark,4/16/17 7:59 AM,4/16/17 7:59 AM,Individual found deceased in off-campus private apartment / CPD case JA226790,CPD,17-00304
Battery,901 E. 58th St. (Mitchell ER),4/16/17 9:35 PM,4/16/17 9:35 PM,Individual being treated in ER struck a staff member and was placed under arrest by UCPD,Arrest,17-00305
Information / Armed Robbery,6200 S. Ingleside (Public Way),4/17/17 1:43 PM,4/17/17 1:40 PM,"Three unknown suspects, one armed with a handgun, took a wallet and keys from a victim walking on the sidewalk off-campus / Victim reported no physical injuries / CPD case JA228224",CPD,17-00306
Lost Property,1100 E. 57th St. to 5655 S. University,4/17/17 2:11 PM,4/17/17 12:00 PM to 12:05 PM,Individual reports losing a change purse from a jacket pocket while walking along the public way,Closed,17-00307
Information / Burglary,Woodlawn between 61st & 62nd,4/17/17 10:03 PM,4/17/17 7:30 AM to 9:40 PM,Unknown person(s) gained unlawful entry to off-campus private apartment and took a computer / CPD case JA228895,CPD,17-00308
Theft,950 E. 59th St. (Billings Hospital),4/18/17 9:05 AM,4/10/17 to 4/14/17 12:00 PM to 11:00 AM,Laptop computer was taken from the podium in a conference room,Open,17-00309
Mental Health Transport,915 E. 60th St. (Logan Center),4/18/17 9:44 AM,4/18/17 9:44 AM,An individual was transported to the ER for evaluation and treatment,Closed,17-00310
Information,5840 S. Maryland (Parking Structure),4/18/17 10:01 AM,4/18/17 9:00 AM,Door of parked vehicle slightly dented when driver of adjacent vehicle opened door and struck the car,Closed,17-00311
Deceptive Practice,1427 E. 60th Street (UC Press),4/18/17 2:25 PM,11/17/16 to 2/17/17,Investigation of credit card fraud,Open,17-00312
Found Narcotics,5700 S. Maryland (CCD),4/18/17 6:41 PM,4/18/17 6:35 PM,Staff member found small amount of marijuana in patient's room / Marijuana turned over to UCPD for proper disposal,Closed,17-00313
Injured Person,821 E. 55th St. (Stagg Field),4/18/17 8:18 PM,4/18/17 8:15 PM,Individual injured wrist while playing soccer / Transported to ER by CFD EMS for evaluation and treatment,Closed,17-00314
Information / Burglary,Drexel between 52nd & 53rd,4/18/17 9:41 PM,4/18/17 9:00 AM to 9:40 PM,Unknown person(s) gained entry to off-campus private apartment via an unsecured rear window taking a TV and jewelry / CPD case JA230243,CPD,17-00315
Sexual Assault / Fondling,1414 E. 59th St. (International House),4/19/17 1:49 PM,4/14/17 11:00 PM,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the student residential building / Due to the confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report     17-019
Information / Burglary / Home Invasion,Ellis between 54th & 55th,4/19/17 12:36 PM,4/19/17 12:00 PM,"3 unknown suspects, one armed with a handgun, entered off-campus private apartment via an unsecured rear door and confronted the resident / Suspects took property and fled back out the rear door / CPD case JA230841",CPD,17-00316
Theft,5700 S. Maryland (CCD),4/19/17 5:31 PM,4/19/17 8:50 AM to 9:00 AM,"Unattended, unsecured cell phone and tablet computer taken from patient's room / Subsequent to follow up investigation, suspect was identified, taken into custody by UCPD officers and charged with theft on 5/4/17",Arrest,17-00317
Non-Criminal / Damage to Property,6320 S. Drexel,4/19/17 6:42 PM,4/19/17 6:35 PM,"""Skid plate"" detached from UC owned vehicle as it was driven over a speed bump in the roadway",Closed,17-00318
Information / Robbery,"6200 S, Drexel (Public Way)",4/19/17 6:01 PM,4/19/17 5:50 PM,Two unknown suspects forcibly took a cell phone from a victim walking on the sidewalk off-campus / CPD case JA231291,CPD,17-00319
Traffic Crash,5400 S. Lake Park,4/20/17 5:24 PM,4/20/17 5:24 PM,UC owned vehicle involved in property damage traffic crash / Medical attention declined / CPD report JA232598,CPD,17-00320
Found Property,850 E. 61st St. (UCPD HQ.),4/21/17 11:08 AM,4/21/17 11:08 AM,First Transit staff member turned in an Amazon Kindle that was found on a UC Shuttle bus / Inventoried for safekeeping,Closed,17-00321
Information / Attempt Armed Robbery,1228 E. 53rd St. (Alley),4/21/17 12:19 PM,4/21/19 12:05 PM,"3 unknown suspects, one armed with a handgun, attempted to take property from a victim in the alley off-campus / Suspects fled after a witness walked into the alley / CPD case JA233392",CPD,17-00322
Liquor Law Violation,5500 S. University (Campus North RH),4/22/17 2:05 AM,4/22/17 2:05 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00323
Non-Criminal Damage to Property,850 E. 61st St.,4/22/17 3:19 PM,4/22/17 3:19 PM,Skid plate fell from bottom of UC owned vehicle / Cause unknown,Closed,17-00324
Theft,6059 S. Woodlawn (South Athletic Field),4/22/17 6:54 PM,4/22/17 4:00 PM to 6:30 PM,"Unattended, unsecured bag containing wallet, iPhone, and clothing taken / The complainant informed the investigator that he located his bag with all property intact / No crime occurred",Unfounded,17-00325
Information / Robbery,5036 S. Ellis (Public Way),4/23/17 10:40 AM,4/23/17 10:35 AM,Two unknown suspects forcibly took a camera from a victim walking on the sidewalk off-campus / Suspects fled to a waiting white colored SUV and drove off / Victim reported no physical injuries / CPD case JA235843,CPD,17-00326
Information / Robbery,1117 E. 53rd St. (Public way),4/23/17 10:50 AM,4/23/17 10:45 AM,Two unknown suspects took a book bag and iPhone from a victim walking on the sidewalk off-campus / Suspects fled to a waiting blue 4-door Chrysler and drove off / Victim reported no physical injuries / CPD case JA235856,CPD,17-00327
Information / Aggravated Robbery / Vehicular Hijacking,842 E. 53rd St. (Public Way),4/23/17 12:25 PM,4/23/17 12:20 PM,"An unknown suspect forcibly took car keys from a victim walking on the sidewalk off-campus, entered the victim's white Honda Civic and drove westbound on 53rd St. / Victim reported no physical injuries / CPD case JA235955",CPD,17-00328
Void,Void,Void,Void,Number generated in error,Void,17-00329
Information,5800 S. Greenwood (Main Quad),4/24/17 4:16 PM,4/24/16 4:05 PM,"An unknown individual talking to a group of people briefly put his hand in his pants, but did not expose himself / The individual quickly left walking northbound on University",Closed,17-00330
Assist Other Agency,54th St. between Woodlawn and Kimbark,4/25/17 1:37 PM,4/25/17 1:30 PM,UCPD officers detained three suspects who had stolen a bicycle from the yard of a private residence off-campus / Suspects and bicycle turned over to CPD / CPD case,CPD,17-00331
Battery,5841 S. Maryland (Wyler Hospital),4/26/17 1:41 AM,4/26/17 1:35 AM,Individual pushed and struck a staff member / Subject arrested by UCPD,Arrest,17-00332
Aggravated Assault,800 E. 55th St. (Friend Center),4/27/17 9:32 AM,4/27/17 9:30 AM,During the course of an argument an individual displayed a knife placing the victim in fear of receiving bodily harm / Suspect arrested by UCPD officers,Arrest,17-00333
Information / Mental Health Transport,5493 S. Cornell,4/27/17 1:44 PM,4/27/17 1:44 PM,Individual transported to ER by CFD EMS for evaluation and treatment,Closed,17-00334
Armed Robbery,1028 E. 62nd St. (Public Way),4/27/17 5:11 PM,4/27/17 5:08 PM,Two unknown suspects armed with  handguns took property from two victims walking on the sidewalk off campus before fleeing southbound / UCPD officer located and detained two suspects / One suspect positively identified and placed under arrest,Arrest,17-00335
Void,Void,Void,Void,Number generated in error,Void,17-00336
Mental Health Transport,5900 S. University,4/28/17 1:02 AM,4/28/17 1:02 AM,Individual transported to ER for evaluation and treatment,Closed,17-00337
Theft from Motor Vehicle,5825 S. Kimbark (Lab School Parking Lot),4/28/17 5:00 PM,4/28/17 2:40 PM to 3:00 PM,Unattended iPhone taken from unsecured car parked in the lot,Open,17-00338
Injured Person,5550 S. University (Crown Field House),4/28/17 11:40 PM,4/28/17 11:35 PM,Individual injured left knee while playing soccer / Transported to ER by CFD EMS for evaluation and treatment,Closed,17-00339
Lost Property,1321 E. 57th St. (Restaurant),4/29/17 7:40 PM,4/29/17 6:45 PM to 6:50 PM,Individual reports losing wallet while in a restaurant off campus,Closed,17-00340
Information / Aggravated Battery (Domestic),Ellis between 63rd & 64th,4/29/17 7:44 PM,4/29/17 7:40 PM,Individual reported that his girlfriend stabbed him in the arm with a knife during a domestic altercation in their private apartment off campus / The victim was transported to a hospial by CFD EMS / CPD case JA244433,CPD,17-00341
Traffic Violation / DUI,1520 E. 57th St.,4/29/17 9:31 PM,4/29/17 9:31 PM,UCPD officer arrested a motorist for driving under the influence of alcoholic beverages,Arrest,17-00342
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),4/30/17 1:05 AM,4/30/17 1:05 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00343
Information / Armed Robbery,6153 S. Greenwood,4/30/17 2:25 PM,4/30/17 2:20 PM,"Victim was approached by an unknown suspect who displayed a handgun and demanded the victim�s property. The victim handed over his cell phone, wallet, and watch to the suspect who fled southbound on Greenwood on foot. The victim reported no physical injuries / CPD case",CPD,17-00344
Information / Traffic Crash,1363 E. 56th St. (Public Way),4/30/17 3:52 PM,4/29/17 5:00 PM,Individual reported he was riding a bicycle on the sidewalk crossing the alley on 56th St. between Kenwood & Dorchester when he was struck by a car exiting the alley / Cyclist complained of injury to his leg / Examined at ER and released,Closed,17-00345
Found Property,850 E. 61st St. (UCPD HQ.),5/1/17 9:40 AM,4/29/17 to 4/30/17 12:00 PM to 11:00 PM,Miscellaneous items found on UC Shuttle buses over the weekend turned in to UCPD by a First Transit supervisor / Items inventoried for safekeeping,Closed,17-00346
Attempt Armed Robbery,6045 S. Kenwood (Public Way),5/1/17 2:06 PM,5/1/17 2:05 PM,An individual standing on the sidewalk was approached by an unknown suspect armed with a handgun / Suspect ordered the victim to hand over his property / The suspect then struck the victim with the handgun and fled southbound without taking any property / A UCPD officer detained a suspect nearby and recovered a replica handgun from his person / Victim identified suspect who was arrested and charged with attempted armed robbery / Victim declined medical attention,Arrest,17-00347
Medical Call,1025 E. 58th St. (Swift Hall),5/2/17 9:19 AM,5/2/17 9:19 AM,Sick person transported to ER for evaluation and treatment,Closed,17-00348
Non-Criminal Damage to Property,5643 S. Cottage Grove (Facilities Services),5/2/17 12:05 PM,4/24/17 to 4/25/17 3:00 PM to 5:00 AM,Gas pump fuel hose damaged,Closed,17-00349
Void,Void,Void,Void,Number generated in error,Void,17-00350
Harassment by Electronic Means,5801 S. Ellis (Levi Hall),5/3/17 9:00 AM,4/30/17 to 5/3/17 11:00 AM to 2:15 PM,Individual transmitted numerous harassing email messages / Complainant declined to prosecute known suspect,Ex. Cleared,17-00351
Motor Vehicle Recovery,6448 S. Drexel,5/3/17 9:30 PM,5/3/17 9:30 PM,"UCPD officer recovered parked, unoccupied vehicle that had been reported stolen to CPD / CPD JA181144",CPD,17-00352
Information,6069 S. Kimbark (South Athletic Field),5/4/17 1:16 PM,5/4/17 1:15 PM,Unauthorized individual was found smoking in the men's restroom / Subject issued a written trespass warning and cautioned not to return,Closed,17-00353
Assist Other Agency,5757 S. University (Saieh Hall),5/3/17 3:13 PM,5/3/17 3:13 PM,UCPD officers detained a subject for Chicago Police Dept. detectives / CPD case,CPD,17-00354
Void,Void,Void,Void,Number generated in error,Void,17-00355
Theft,5700 S. Maryland (CCD),5/5/17 11:40 AM,5/5/17 3:00 AM to 10:30 AM,Unsecured iPod taken from patient's room,Open,17-00356
Information / Shots Fired,5043 S. Drexel (Public Way),5/5/17 2:44 PM,5/5/17 2:40 PM,"CPD & UCPD officers responded to a call of shots fired off campus / Discovered a parked, unoccupied car with broken windows / CPD case JA251827",CPD,17-00357
Found Property,850 E. 61st St. (UCPD HQ),5/5/17 1:51 PM,5/5/17 1:51 PM,First Transit supervisor turned over a wallet found on UC Shuttle Bus / Inventoried and held for owner,Closed,17-00358
Criminal Trespass to Land,1200 E. 61st St. (South Campus Athletic Field),5/5/17 11:21 PM,5/5/17 11:21PM,"UCPD officer discovered two unauthorized individuals inside men's restroom / One subject, having previously received written and oral warnings, was arrested / Second subject referred to city Department of Human Services for shelter",Arrest,17-00359
Battery,5758 S. Maryland (DCAM),5/6/17 12:23 PM,5/6/17 12:15 PM,Staff member was struck by an individual trying to gain unauthorized access to a building / Subject arrested by UCPD,Arrest,17-00360
Theft,1111 E. 60th St. (Law School),5/6/17 1:31 PM,5/6/17 6:30 AM to 9:00 AM,"4 individuals reported loss of unsecured wallets or cash taken from unattended, unsecured room / As a result of a follow up by UCPD Investigations, a suspect was identifed, arrested and charged with 3 counts of theft on 5/25/17.",Arrest,17-00361
Mental Health Transport,6019 S. Ingleside,5/7/17 12:46 AM,5/7/17 12:46 AM,Individual transported to Jackson Park Hospital for evaluation and treatment,Closed,17-00362
Information,901 E. 58th St. (Mitchell ER),5/7/17 4:30 PM,5/7/17 4:30 PM,"Individual navigating an electric wheelchair drove over curb, tipped chair and fell to the pavement / Taken into ER, examined and released",Closed,17-00363
Information / Armed Robbery,5609 S. Kenwood (Public Way),5/7/17 9:05 PM,5/7/17 9:00 PM,"Two suspects, one armed with a handgun, took property from 2 victims walking on the sidewalk off campus / Suspects fled westbound on 56th St. with a third individual that had been waiting nearby / Victims reported no physical injuries / CPD case",CPD,17-00364
Stalking,1100 E. 57th St. (Regenstein Library),5/8/17 11:06 AM,4/1/17 to 5/8/17 Various times,"DSS notified by a Campus Security Authority that undisclosed victim reported she is being stalked by an ex-boyfriend at the library and other locations on campus / Due to confidentiality of reporting, limited information is available regarding this incident.",No Investigation Referred to Title IX Coordinator,CSA Report     17-020
Theft,5758 S. Maryland (DCAM),5/8/17 10:44 AM,5/2/17 2:00 PM to 2:15 PM,Currency and UCM ID card taken from pocket of a jacket left unattended and unsecured in room 3714,Open,17-00365
Theft,5640 S. University (Bartlett Commons),5/9/17 9:13 AM,5/9/17 8:45 AM to 8:50 AM,"Laptop computer taken from unattended, unsecured bag placed under a table in 2nd floor caf�",Open,17-00366
Information,5758 S. Maryland (DCAM Caf�),5/9/17 2:19 PM,5/9/17 2:15 PM,A staff member observed an individual place several items of candy in a plastic bag and called police / Individual had not left the cafe with items / No theft occurred,Closed,17-00367
Lost Property,924 E. 57th St. (BSLC),5/9/17 3:21 PM,5/8/17 10:30 AM to 12:30 PM,Individual lost wallet between BSLC and Comer Hospital,Closed,17-00368
Information,5721 S. Maryland (Comer Hospital),5/10/17 9:19 AM,5/10/17 6:35 AM,Two staff members involved in disagreement / To be mediated and resolved by supervisor,Closed,17-00369
Criminal Sexual Assault,6031 S. Ellis (Granville-Grossman RH),5/10/17 11:41 AM,10/8/15 Unknown time,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an acquaintance in 2015 / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report     17-021
Lost Property,1005 E. 60th St. (Burton-Judson RH),5/10/17 2:30 PM,4/12/17 to 5/5/17 1:00 PM to 2:00 PM,Report of lost passport,Closed,17-00370
Information,5801 S. Ellis (Levi Hall),5/10/17 2:57 PM,5/10/17 1:20 PM,Information relating to non-threatening phone calls received,Closed,17-00371
Traffic Crash / Personal Injury,1600 E. Midway Pl.,5/10/17 3:34 PM,5/10/17 3:34 PM,"After being involved in a property damage traffic crash, motorist disobeyed police and drove off striking a UCPD officer / Driver detained by UCPD / Officer transported to the hospital suffering multiple injuries / CPD case JA258265",CPD,17-00372
Found Property,1155 E. 58th St. (Oriental Institute),5/10/17 4:03 PM,5/10/17 4:03 PM,Wallet found and turned over to UCPD for safekeeping,Closed,17-00373
False Fire Alarm,5835 S. Greenwood (Stuart Hall),5/10/17 4:59 PM,5/10/17 4:59 PM,Unknown person pulled a fire alarm box on the first floor / CFD responded,Closed,17-00374
Theft,5700 S. Maryland (CCD),5/11/17 12:15 PM,5/11/17 9:00 AM to 11:00 AM,"Two unattended, unsecured phone chargers taken from secured room #5446",Open,17-00375
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),5/11/17 5:22 PM,5/11/17 5:22 PM,Individual transported to ER for evaluation and treatment,Closed,17-00376
Information,5811 S. Ellis (Cobb Hall),5/11/17 9:18 PM,5/11/17 9:18 PM,UCPD officers responded to call of offensive posters in Quad buildings / Two posters found and removed from Cobb Hall,Closed,17-00377
Information / Aggravated Battery,4424 S. Drexel (Alley),5/12/17 12:54 AM,5/12/17 12:50 AM,Individual shot in the foot by unknown assailant while walking in the alley off campus / Transported to hospital by CFD EMS / CPD case JA260209,CPD,17-00378
Liquor Law Violation,1101 E. 56th St. (Max Palevsky RH),5/12/17 1:02 AM,5/12/17 1:02 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00379
Traffic Crash,5601 S. Cottage Grove (UC Service Garage),5/12/17 7:03 AM,5/12/17 12:30 AM,UC owned vehicle struck a concrete barrier causing damage to passenger's side door,Closed,17-00380
Medical Call,1100 E. 57th St. (Regenstein Library),5/12/17 9:52 AM,5/12/17 9:52 AM,Sick person transported to ER by CFD EMS for evaluation and treatment,Closed,17-00381
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),5/12/17 4:57 PM,5/12/17 4:57 PM,Individual transported to ER for evaluation and treatment,Closed,17-00382
Theft,5812 S. Ellis (Surgery Brain Research Bike Rack),5/12/17 6:01 PM,5/12/17 9:00 AM to 6:00 PM,Secured bicycle taken from bike rack,Open,17-00383
Theft,5700 S. Maryland (CCD),5/12/17 7:13 PM,5/12/17 1:00 PM to 5:45 PM,Cash and a credit card taken from two purses left in unsecured lockers in locker room 0-336,Open,17-00384
Information / Vehicular Hijacking,5245 S. Drexel,5/12/17 10:57 PM,5/12/17 10:50 PM,"Two unknown suspects, by threat of force, forced occupant from vehicle parked off campus / Suspects entered vehicle and fled northbound on Drexel / CPD case JA261562",CPD,17-00385
Liquor Law Violation,6040 S. University (Public Way),5/13/17 1:05 AM,5/13/17 1:05 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00386
Information / Criminal Sexual Assault,Drexel between 54th & 55th,5/13/17 3:46 PM,5/12/17 11:45 PM,An individual reported being sexually assaulted by an acquaintance while a guest in his off campus private apartment  / CPD case JA262518,CPD,17-00387
Information / Aggravated Battery,801 E. 63rd St. (Public Way),5/13/17 4:39 PM,5/13/17 4:39 PM,An individual standing on the sidewalk off campus suffered a gunshot wound to the buttocks when shots were fired by an unknown assailant in what appears to be a targeted attack / CPD case  JA262353,CPD,17-00388
Lost Property,5815 S. Maryland (Mitchell Hospital),5/13/17 8:25 PM,5/13/17 7:30 PM,Unsecured currency missing from patient's room,Closed,17-00389
Theft,5815 S. Maryland (Mitchell Hospital Gift Shop),5/14/17 2:43 PM,5/14/17 2:40 PM,Individual exited the gift shop without paying for several articles of merchandise hidden in her pocket / Management declined to prosecute,Ex. Cleared,17-00390
Found Narcotics,5815 S. Maryland (Mitchell Hospital),5/14/17 3:17 PM,5/14/17 2:15 PM,Staff members found 10 small plastic baggies in patient's room with narcotics residue (Heroin) inside / Turned over to UCPD for proper disposal,Closed,17-00391
Criminal Damage to Property,6300 S. University (Woodlawn Charter School Construction Site),5/15/17 9:36 AM,5/15/17 5:00 AM to 6:15 AM,Unknown person(s) scrawled graffiti on the interior walls on the 2nd floor and a stairwell of the building,Open,17-00392
Information / Robbery,4759 S. Woodlawn (Public Way),5/15/17 4:38 PM,5/15/17 4:30 PM,Unknown suspect took a back pack and cell phone from a victim walking on the sidewalk off campus / CPD case JA264869,CPD,17-00393
Information / Aggravated Robbery,5400 S. Drexel (Public Way),5/15/17 5:30 PM,5/15/17 5:25 PM,"Two unknown suspects, one implying a weapon (No weapon displayed) struck a victim walking on the sidewalk off campus, took a cell phone from the victim's hand and fled into Washington Park / Victim reported no physical injuries and declined medical attention / CPD case JA264998",CPD,17-00394
Medical Call,1116 E. 59th St. (Harper Library),5/16/17 3:38 PM,5/16/17 3:25 PM,Ill person transported to the hospital by CFD EMS for evaluation and treatment,Closed,17-00395
Information / Criminal Damage to Property,5615 S. University,5/17/17 8:43 AM,5/17/17 4:50 AM,Unknown person(s) spray painted graffiti on the front exterior brick wall and front door of residence / CPD case JA267274,CPD,17-00396
Information / Aggravated Robbery,5550 S. Dorchester (Public Way),5/17/17 10:59 PM,5/17/17 10:30 PM,"Two unknown suspects, one implying a weapon - no weapon seen - took an iPhone and wallet from a victim walking on the sidewalk off campus / Suspects fled to a waiting car that drove southbound on Dorchester / Victim reported no injuries / CPD case",CPD,17-00397
Theft,1100 E. 57th St. (Regenstein Library),5/18/17 11:01 AM,5/18/17 10:30 AM to 10:40 AM,"Laptop taken from unattended, unsecured book bag",Open,17-00398
Information,5848 S. University (Green Hall),5/18/17 10:22 AM,2/1/17 to 5/18/17  various,Small personal and household items found at various times on the 3rd floor outside of offices,Closed,17-00399
Found Property,850 E. 61st St. (UCPD HQ),5/18/17 2:25 PM,5/17/17 9:00 PM,Shuttle bus driver found cell phone on bus / Turned over to UCPD for safekeeping,Closed,17-00400
Traffic Crash / Personal Injury,5700 S. Kimbark,5/18/17 3:12 PM,5/18/17 3:10 PM,Motorist struck pedestrian in the crosswalk / Injured person transported to ER for evaluation and treatment / MVA 2017-00078,Closed,17-00401
Criminal Trespass to Land,6019 S. Ingleside (UC Residential Property),5/19/17 12:03 AM,5/19/17 12:03 AM,"An individual, who had been previously arrested for trespass and had been banned from UC property, was found loitering in the vestibule of a UC owned building / Subject arrested for trespass and a warrant from the Cook County Sheriff's Office",Arrest,17-00402
Information / Attempt Armed Robbery,5300 S. University,5/19/17 11:48 AM,5/19/17 11:40 AM,Individual was approached on the sidewalk off campus by a suspect armed with a handgun / Suspect demanded victim's property / Victim walked away and called CPD / CPD officers located suspect in nearby alley / Handgun recovered / Suspect arrested and charged with attempted armed robbery / CPD case JA270504,Arrest / CPD,17-00403
